node_id,region,cpu_cores,mem_gb,disk_gb,gpu_model,gpu_mem_gb,cost_per_hour,network_bandwidth_mbps,base_flops
node_train_0030,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.25,88111,82
node_train_0031,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.4,89660,180
node_train_0032,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.84,61833,82
node_train_0033,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.57,55960,312
node_train_0034,shanghai,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.57,99926,82
node_train_0035,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,30.39,81827,312
node_train_0036,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.59,54275,82
node_train_0037,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.19,41422,82
node_train_0038,beijing,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.18,52189,82
node_train_0039,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.53,51386,82
node_train_0040,guangzhou,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.74,91408,82
node_train_0041,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.32,63696,82
node_train_0042,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.12,25662,180
node_train_0043,guangzhou,32 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.22,12947,180
node_train_0044,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.63,13990,180
node_train_0045,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,13.17,34860,180
node_train_0046,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.26,54818,82
node_train_0047,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.22,40057,180
node_train_0048,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.55,96811,180
node_train_0049,beijing,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.13,52325,82
node_train_0050,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.53,54797,82
node_train_0051,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.06,91243,82
node_train_0052,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,13.08,39401,180
node_train_0053,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.12,51948,180
node_train_0054,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.32,41235,312
node_train_0055,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.63,62489,82
node_train_0056,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.18,49516,82
node_train_0057,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.42,11414,82
node_train_0058,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,13.05,62585,180
node_train_0059,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.83,47070,180
node_train_0060,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.3,44415,180
node_train_0061,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.3,25418,180
node_train_0062,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.57,44528,312
node_train_0063,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.75,31056,180
node_train_0064,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.54,13893,82
node_train_0065,beijing,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.72,56395,82
node_train_0066,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.26,18420,82
node_train_0067,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.82,81746,82
node_train_0068,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.78,43354,82
node_train_0069,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.59,68791,82
node_train_0070,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.76,52965,82
node_train_0071,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.43,86623,312
node_train_0072,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.95,65140,82
node_train_0073,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.87,51209,82
node_train_0074,shanghai,32 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,32.63,40942,312
node_train_0075,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.89,49421,82
node_train_0076,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.62,34118,180
node_train_0077,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.15,81225,180
node_train_0078,beijing,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.29,48730,82
node_train_0079,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.28,33211,82
node_train_0080,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.49,75014,82
node_train_0081,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,13.19,17760,180
node_train_0082,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.4,40447,82
node_train_0083,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.77,15725,180
node_train_0084,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.71,72238,82
node_train_0085,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.12,68547,180
node_train_0086,shanghai,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.73,57868,82
node_train_0087,shanghai,32 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,32.03,22226,312
node_train_0088,beijing,32 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.33,88248,180
node_train_0089,guangzhou,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.12,25354,180
node_train_0090,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.97,11006,82
node_train_0091,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.87,83161,82
node_train_0092,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.04,75110,82
node_train_0093,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.24,66193,180
node_train_0094,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.83,13597,312
node_train_0095,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.79,47569,82
node_train_0096,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.97,56092,312
node_train_0097,guangzhou,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.52,45611,82
node_train_0098,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.21,14136,180
node_train_0099,guangzhou,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.6,56135,82
node_train_0100,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.74,96842,82
node_train_0101,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.71,93208,82
node_train_0102,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.71,47522,82
node_train_0103,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.4,14667,312
node_train_0104,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.82,25568,82
node_train_0105,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.71,61176,180
node_train_0106,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.8,98344,82
node_train_0107,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.27,92922,82
node_train_0108,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.9,75867,82
node_train_0109,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.73,20349,82
node_train_0110,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.21,98098,312
node_train_0111,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.91,97178,82
node_train_0112,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,13.1,94126,180
node_train_0113,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.26,64106,82
node_train_0114,guangzhou,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.24,79435,82
node_train_0115,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.75,14295,180
node_train_0116,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.45,18930,82
node_train_0117,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.6,29502,180
node_train_0118,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,13.1,83850,180
node_train_0119,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.82,23488,312
node_train_0120,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.85,40434,82
node_train_0121,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,13.14,60492,180
node_train_0122,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.43,95694,82
node_train_0123,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.68,85667,82
node_train_0124,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.71,81943,180
node_train_0125,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.57,13098,312
node_train_0126,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,13.19,53725,180
node_train_0127,beijing,32 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.28,64649,82
node_train_0128,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.95,52769,180
node_train_0129,beijing,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.7,86424,82
node_train_0130,guangzhou,64 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,27.39,90643,312
node_train_0131,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.96,70488,180
node_train_0132,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.16,72025,180
node_train_0133,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.06,29641,312
node_train_0134,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.22,65479,180
node_train_0135,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.37,45739,82
node_train_0136,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,30.66,25491,312
node_train_0137,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.17,64606,82
node_train_0138,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.3,61599,180
node_train_0139,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.15,57836,82
node_train_0140,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,32.49,35086,312
node_train_0141,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.55,39313,82
node_train_0142,guangzhou,64 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.95,90986,180
node_train_0143,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.34,23094,82
node_train_0144,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.5,67020,82
node_train_0145,beijing,64 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.08,99029,180
node_train_0146,beijing,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.14,83073,82
node_train_0147,shanghai,32 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.36,49419,312
node_train_0148,guangzhou,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.14,15952,82
node_train_0149,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.7,85680,180
node_train_0150,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.98,23111,312
node_train_0151,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.08,67297,82
node_train_0152,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.22,71822,82
node_train_0153,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.68,63913,82
node_train_0154,shanghai,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.83,28304,180
node_train_0155,beijing,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.75,13682,82
node_train_0156,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.85,82256,82
node_train_0157,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.32,71239,82
node_train_0158,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.77,97812,180
node_train_0159,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.33,32561,180
node_train_0160,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.4,94956,82
node_train_0161,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.37,56574,180
node_train_0162,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.77,20857,82
node_train_0163,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.83,83721,82
node_train_0164,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.55,87024,82
node_train_0165,shanghai,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.49,81178,180
node_train_0166,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.01,26124,82
node_train_0167,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.74,31028,82
node_train_0168,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.0,10045,82
node_train_0169,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.1,99607,180
node_train_0170,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.35,91245,82
node_train_0171,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.68,66984,82
node_train_0172,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.59,29074,82
node_train_0173,guangzhou,64 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,10.92,95010,180
node_train_0174,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.52,71622,180
node_train_0175,guangzhou,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.61,49080,82
node_train_0176,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.02,38733,82
node_train_0177,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.58,59143,82
node_train_0178,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.28,93392,82
node_train_0179,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.18,33033,82
node_train_0180,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.58,68085,312
node_train_0181,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.39,48229,82
node_train_0182,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.1,69693,82
node_train_0183,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.04,67330,82
node_train_0184,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.15,81730,82
node_train_0185,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.2,15916,312
node_train_0186,guangzhou,32 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.52,73733,180
node_train_0187,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.07,25159,82
node_train_0188,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.64,35166,82
node_train_0189,guangzhou,32 cores,256 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,30.11,59987,312
node_train_0190,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.93,91938,82
node_train_0191,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.09,38223,82
node_train_0192,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.55,80655,82
node_train_0193,guangzhou,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.67,48116,82
node_train_0194,guangzhou,32 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.61,20150,312
node_train_0195,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.22,60054,180
node_train_0196,shanghai,32 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.6,33608,312
node_train_0197,guangzhou,128 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.97,42453,180
node_train_0198,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.3,22741,82
node_train_0199,shanghai,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,10.81,46638,180
node_train_0200,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.98,93087,82
node_train_0201,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.91,52008,82
node_train_0202,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.93,65209,180
node_train_0203,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,28.19,94960,312
node_train_0204,beijing,32 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,29.62,91932,312
node_train_0205,shanghai,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.93,60933,82
node_train_0206,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.72,54236,180
node_train_0207,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.87,96690,82
node_train_0208,beijing,128 cores,256 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,31.66,77204,312
node_train_0209,guangzhou,128 cores,256 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.41,33702,180
node_train_0210,shanghai,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.01,62099,82
node_train_0211,shanghai,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.1,50661,82
node_train_0212,guangzhou,32 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.81,58440,82
node_train_0213,beijing,64 cores,256 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.98,53687,82
node_train_0214,beijing,128 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.01,29028,82
node_train_0215,beijing,32 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,12.09,97834,180
node_train_0216,guangzhou,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.28,97043,82
node_train_0217,shanghai,32 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.9,77241,180
node_train_0218,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,12.82,42978,180
node_train_0219,shanghai,128 cores,512 GB,4000 GB NVMe,NVIDIA A100-SXM4-80GB,80,32.19,30419,312
node_train_0220,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.21,56183,82
node_train_0221,shanghai,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.53,14837,82
node_train_0222,beijing,64 cores,512 GB,2000 GB NVMe,NVIDIA A100-SXM4-80GB,80,30.05,60094,312
node_train_0223,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.35,84454,82
node_train_0224,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.38,40229,82
node_train_0225,guangzhou,64 cores,512 GB,2000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.94,40056,82
node_train_0226,shanghai,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.93,47707,82
node_train_0227,shanghai,64 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.54,82399,82
node_train_0228,guangzhou,128 cores,256 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,11.56,24332,180
node_train_0229,beijing,64 cores,512 GB,4000 GB NVMe,NVIDIA L40S-48GB,48,10.89,48824,180
node_train_0230,beijing,128 cores,512 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,4.57,23108,82
node_train_0231,beijing,32 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.02,65644,82
node_train_0232,beijing,128 cores,256 GB,4000 GB NVMe,NVIDIA RTX 4090-24GB,24,5.35,27534,82
node_train_0233,guangzhou,32 cores,512 GB,2000 GB NVMe,NVIDIA L40S-48GB,48,11.52,85956,180
